AssemblyAccession	AssemblyName	Organism	SpeciesTaxid	BioSampleAccn	ContigN50	Coverage	Strain	Pathovar	Owner	Link
GCF_000167955.1	ASM16795v1	Ralstonia solanacearum UW551 (b-proteobacteria)	305	SAMN02471768	65840		UW551		NCBI	15601
GCF_000212635.3	ASM21263v2	Ralstonia solanacearum MolK2 (b-proteobacteria)	305	SAMEA3138396	30467		MolK2		EBI	
GCF_000215325.1	ASM21532v1	Ralstonia solanacearum Po82 (b-proteobacteria)	305	SAMN02603411	3481091		Po82		NCBI	66837
GCF_000525615.2	P673_Nanopore	Ralstonia solanacearum P673 (b-proteobacteria)	305	SAMN02585053	3505620	73	P673		Univ. of Florida MREC	230111
GCF_000710135.2	ASM71013v3	Ralstonia solanacearum (b-proteobacteria)	305	SAMN02863150	58390	105	CFIA906		Canadian Food Inspection Agency	
GCF_000710695.1	Ralstonia solanacearum R3bv2 strain NCPPB909	Ralstonia solanacearum (b-proteobacteria)	305	SAMN02821162	51262	200	NCPPB 909		Canadian Food Inspection Agency	
GCF_000749995.1	ASM74999v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN03009919	136379	20	23-10BR		University of Exeter	
GCF_000750575.1	ASM75057v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN03009966	69431	20	NCPPB 282		University of Exeter	
GCF_000750585.1	ASM75058v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN03009990	30760	17	POPS2		University of Exeter	
GCF_000825785.1	B50	Ralstonia solanacearum (b-proteobacteria)	305	SAMEA3137592	15512	100	B50		EBI	
GCF_000825805.1	UW179	Ralstonia solanacearum (b-proteobacteria)	305	SAMEA3137593	27629	100	UW179		EBI	
GCF_000825825.1	CIP417	Ralstonia solanacearum (b-proteobacteria)	305	SAMEA3137594	23932	100	CIP417		EBI	
GCF_000825845.1	Grenada91	Ralstonia solanacearum (b-proteobacteria)	305	SAMEA3137596	21465	100	Grenada 9-1		EBI	
GCF_000825865.1	UW163	Ralstonia solanacearum (b-proteobacteria)	305	SAMEA3137591	22639	100	UW163		EBI	
GCF_000825885.1	CFBP6783	Ralstonia solanacearum (b-proteobacteria)	305	SAMEA3137590	24821	100	CFBP6783		EBI	
GCF_000825905.1	IBSBF1503	Ralstonia solanacearum (b-proteobacteria)	305	SAMEA3137589	24468	100	IBSBF1503		EBI	
GCF_000825925.1	CFBP1416	Ralstonia solanacearum (b-proteobacteria)	305	SAMEA3137588	20097	100	CFBP1416		EBI	
GCF_001050995.1	ASM105099v1	Ralstonia solanacearum IPO1609 (b-proteobacteria)	305	SAMEA3158502	28779		IPO1609		EBI	
GCF_001299555.1	ASM129955v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN03402637	3412138	130	UY031		University of Sao Paulo	
