SAMD00034391				GCF_001879565.1	Complete genome sequence of plant pathogen R. solanacearum OE1-1	SAMD00034391	4092273	Ralstonia solanacearum OE1-1	OE1-1	not applicable	not applicable	Solanum melongena		not applicable		not applicable			not applicable	not applicable	2	not applicable	not applicable															Genome R. solanacearum OE1-1			RSOE																																Complete genome sequence of Ralstonia solanacearum OE1-1							
SAMD00250057	MAFF 211471	RAL_AA0164AA		GCF_015097935.1	Ralstonia solanacearum MAFF 211471	SAMD00250057	16295089	Ralstonia solanacearum	MAFF 211471	not applicable	not applicable			not applicable		not applicable			not applicable	not applicable	2	not applicable	not applicable															MAFF 211471			MAFF211471																																Genome sequences of Ralstonia solanacearum infecting ginger plants							
SAMD00250058	MAFF 211479	RAL_AA0163AA		GCF_015098135.1	Ralstonia solanacearum MAFF 211479	SAMD00250058	16295090	Ralstonia solanacearum	MAFF 211479	not applicable	not applicable			not applicable		not applicable			not applicable	not applicable	2	not applicable	not applicable															MAFF 211479			MAFF211479																																Genome sequences of Ralstonia solanacearum infecting ginger plants							
SAMD00250059	MAFF 211491	RAL_AA0162AA		GCF_015098255.1	Ralstonia solanacearum MAFF 211491	SAMD00250059	16295091	Ralstonia solanacearum	MAFF 211491	not applicable	not applicable			not applicable		not applicable			not applicable	not applicable	2	not applicable	not applicable															MAFF 211491			MAFF211491																																Genome sequences of Ralstonia solanacearum infecting ginger plants							
SAMD00250060	MAFF 301560	RAL_AA0161AA		GCF_015098475.1	Ralstonia solanacearum MAFF 301560	SAMD00250060	16295092	Ralstonia solanacearum	MAFF 301560	not applicable	not applicable			not applicable		not applicable			not applicable	not applicable	2	not applicable	not applicable															MAFF 301560			MAFF301560																																Genome sequences of Ralstonia solanacearum infecting ginger plants							
SAMD00250061	MAFF 241647	RAL_AA0160AA		GCF_015098595.1	Ralstonia solanacearum MAFF 241647	SAMD00250061	16295093	Ralstonia solanacearum	MAFF 241647	not applicable	not applicable			not applicable		not applicable			not applicable	not applicable	2	not applicable	not applicable															MAFF 241647			MAFF241647																																Genome sequences of Ralstonia solanacearum infecting ginger plants							
SAMD00250062	MAFF 241648	RAL_AA0159AA		GCF_015098755.1	Ralstonia solanacearum MAFF 241648	SAMD00250062	16295094	Ralstonia solanacearum	MAFF 241648	not applicable	not applicable			not applicable		not applicable			not applicable	not applicable	2	not applicable	not applicable															MAFF 241648			MAFF241648																																Genome sequences of Ralstonia solanacearum infecting ginger plants							
SAMD00256261				GCF_015698345.1	Genomic_DNA_A_complete	SAMD00256261	16814224	Ralstonia solanacearum	MAFF 211472	not applicable	not applicable	Zingiber officinale		not applicable		not applicable			not applicable	not applicable	not applicable	not applicable	not applicable															A_complete			RPSA											MAFF:211472																					Comparative genomic analysis of Ralstonia solanacearum							
SAMD00256262	MAFF 211479	RAL_AA0856AA		GCF_015698365.1	Genomic_DNA_B_complete	SAMD00256262	16814225	Ralstonia solanacearum	MAFF 211479	not applicable	not applicable	Zingiber officinale		not applicable		not applicable			not applicable	not applicable	not applicable	not applicable	not applicable															B_complete			RPSB											MAFF:211479																					Comparative genomic analysis of Ralstonia solanacearum							
SAMD00256263	MAFF 311693	RAL_AA0855AA		GCF_015698385.1	Genomic_DNA_D_complete	SAMD00256263	16814226	Ralstonia solanacearum	MAFF 311693	not applicable	not applicable	Curcuma aromatica		not applicable		not applicable			not applicable	not applicable	not applicable	not applicable	not applicable															D_complete			RPSD											MAFF:311693																					Comparative genomic analysis of Ralstonia solanacearum							
SAMD00657122	MAFF 211519	RAL_AA0016AA		GCF_037101315.1	Ralstonia pseudosolanacearum MAFF 211519	SAMD00657122	38237301	Ralstonia pseudosolanacearum	MAFF 211519	not applicable	not applicable	not applicable	not applicable		not applicable																							MAFF 211519			MAFF211519																																							
